Nombre_Estacion,Latitud,Longitud,Linea
Cuitláhuac,19.4573304062518,-99.1815909713096,2
Tacuba,19.4595613546235,-99.1889857337813,2
Panteones,19.4586136732868,-99.20286481148572,2
Cuatro Caminos,19.4595932088305,-99.215842489255,2
Universidad,19.3243534831642,-99.1739384554613,3
Copilco,19.352649856254803,-99.1769967130086,3
Miguel Ángel de Quevedo,19.3375968092207,-99.1806385654476,3
Viveros y  Derechos Humanos,19.3354844716257,-99.175892672034,3
Coyoacán,19.3619878102542,-99.17057094643091,3
Zapata,19.3707930345434,-99.1647634807563,3
División del Norte,19.3801345121089,-99.1589179361435,3
Eugenia,19.38535076116269,-99.1573997632629,3
Etiopía y Plaza de la Transparencia,19.396499785000103,-99.155985727,3
Centro Médico,19.406740858,-99.155185301,3
Hospital General,19.4132699256478,-99.154183475468,3
Niños Héroes y  Poder Judicial CDMX,19.4208136697051,-99.1501872227413,3
Juárez,19.432735919668,-99.1477842586891,3
Guerrero,19.445197570000104,-99.145090836,3
Tlatelolco,19.453793059386,-99.1431464201886,3
La Raza,19.4705950313538,-99.1380777673472,3
Potrero,19.4777198119164,-99.1315802587772,3
Deportivo 18 de Marzo,19.485661421867302,-99.1250481213507,3
Indios Verdes,19.495337618202,-99.11950993810048,3
Santa Anita,19.4076117720019,-99.1217026977496,4
Jamaica,19.4103518481071,-99.12173432920191,4
Fray Servando,19.4209902648544,-99.1206163484048,4
Morelos,19.4402440278527,-99.1180448336574,4
Canal del Norte,19.4496191599354,-99.1159679959138,4
Consulado,19.45870198580711,-99.11373467803058,4
Bondojito,19.4642437032765,-99.1121210999052,4
Talismán,19.4749234835019,-99.1078545190412,4
Martín Carrera,19.485044145000103,-99.104369477,4
Hangares,19.447074253693103,-99.08817962227909,5
Terminal Aérea,19.4343454880001,-99.0879957449999,5
Oceanía,19.4236379586838,-99.0869138382517,5
Aragón,19.451527206,-99.095477493,5
Eduardo Molina,19.4511167532562,-99.1045326526216,5
Valle Gómez,19.458579062353,-99.11860881865508,5
Misterios,19.4628402485225,-99.1297762662827,5
Autobuses del Norte,19.479807350508302,-99.1409406092738,5
Instituto del Petróleo,19.488653957265,-99.14443749769327,5
Politécnico,19.5006786989004,-99.1492059930465,5
La Villa y Basílica,19.4817788878622,-99.11920586554449,6
Lindavista,19.48775237381989,-99.1343002426164,6
Vallejo,19.4915398092476,-99.153408448129,6
Norte 45,19.4890212278246,-99.1636381012776,6
Ferrería y Arena Ciudad de México,19.4905832210001,-99.174592592,6
UAM Azcapotzalco,19.491605309,-99.188724824,6
Tezozómoc,19.495563435000104,-99.197993218,6
El Rosario,19.5046301438342,-99.19976981604844,6
Barranca del Muerto,19.3615015633223,-99.1892637065063,7
Mixcoac,19.46056722962,-99.1875828228298,7
San Antonio,19.4021902182198,-99.1867544589638,7
San Pedro de los Pinos,19.3912265658327,-99.185835844654,7
Constituyentes,19.4311058938654,-99.191246104433,7
Auditorio,19.4430027056153,-99.1920235501432,7
Polanco,19.4410203223181,-99.1908918843296,7
San Joaquín,19.427610970394,-99.1917723749248,7
Refinería,19.440389395711698,-99.19050814257092,7
Camarones,19.4852842693966,-99.1900705617474,7
Aquiles Serdán,19.49037725438649,-99.1951442137108,7
Constitución de 1917,19.3459684058057,-99.06379884969591,8
UAM-I,19.3515890573441,-99.0759917228688,8
Cerro de la Estrella,19.3558277706884,-99.0852786882657,8
Iztapalapa,19.3578596683221,-99.0933272589204,8
Atlalilco,19.35618779682149,-99.1005373992909,8
Escuadrón 201,19.3564981902508,-99.1094338043798,8
Aculco,19.3719665425116,-99.10770288384528,8
Apatlaco,19.3564981902508,-99.1094338043798,8
Iztacalco,19.3874195696343,-99.1119185299568,8
Coyuya,19.391824329,-99.11346065,8
La Viga,19.4072584978164,-99.12638799788608,8
Obrera,19.4117141877952,-99.1440468820288,8
Doctores,19.410858588000103,-99.143218668,8
San Juan de Letrán,19.4293718215454,-99.14158799297908,8
Garibaldi y Lagunilla,19.4440012887602,-99.1390044128348,8
Puebla,19.4072991050001,-99.083104727,9
Ciudad Deportiva,19.4083279915833,-99.0904670422945,9
Velódromo,19.4085166235986,-99.1039498462658,9
Mixiuhca,19.4083729960702,-99.1131488872607,9
Lázaro Cárdenas,19.4071749381778,-99.1455391627523,9
Chilpancingo,19.4059066788924,-99.1693323727757,9
Patriotismo,19.4058843131082,-99.178231992679,9
La Paz,19.3505615721907,-98.9609372506497,A
Los Reyes,19.358900651944,-98.9777288907947,A
Santa Marta,19.3602336008896,-98.994349133389,A
Acatitla,19.3652409660579,-99.0063225904129,A
Penón Viejo,19.3728105525824,-99.0163749968221,A
Guelatao,19.3855863748308,-99.03640329433227,A
Tepalcates,19.390861702691,-99.0456046754554,A
Canal de San Juan,19.3984097764476,-99.0588128084052,A
Agrícola Oriental,19.4050322400204,-99.0702854089748,A
Buenavista,19.446185903558,-99.1523513773835,B
Lagunilla,19.443239311019003,-99.13060298216008,B
Tepito,19.4427545509938,-99.1236100986771,B
Ricardo Flores Magón,19.436595464,-99.10364204099992,B
Romero Rubio,19.44091415255789,-99.09403227276007,B
Deportivo Oceanía,19.4510453020001,-99.079270609,B
Bosque de Aragón,19.45764922469689,-99.0699008536222,B
Villa de Aragón,19.46193616301111,-99.0604758059323,B
Nezahualcóyotl,19.4735583265944,-99.0543165730999,B
Impulsora,19.4864801182067,-99.0486346360025,B
Río de los Remedios,19.4914512761912,-99.0464518205736,B
Múzquiz,19.5023065588794,-99.04171031265508,B
Ecatepec,19.515885895811103,-99.0357329929144,B
Olímpica,19.5221032475068,-99.03300825826192,B
Plaza Aragón,19.5292471772558,-99.0298219725198,B
Ciudad Azteca,19.5345130652073,-99.0275097175891,B
Tláhuac,19.2860222775039,-99.01419832429008,12
Tlaltenco,19.2949655166337,-99.0244920444882,12
Zapotitlán,19.2965527299843,-99.03496512460958,12
Nopalera,19.3000324494393,-99.0467173995475,12
Olivos,19.3045560285911,-99.0601908053412,12
Tezonco,19.3065334420388,-99.0659130794816,12
Periférico Oriente,19.3180420832278,-99.075022740821,12
Calle 11,19.3205964184436,-99.0866074677821,12
Lomas Estrella,19.3222565203132,-99.0964833615909,12
San Andrés Tomatlán,19.3284353760642,-99.1051784682398,12
Culhuacán,19.3350903955284,-99.1089700885715,12
Mexicaltzingo,19.3576407392103,-99.1220620678615,12
Eje Central,19.36158014243161,-99.1529777984835,12
Parque de los Venados,19.3707245113706,-99.159107989881,12
Hospital 20 de Noviembre,19.3723200211786,-99.1722674393244,12
Insurgentes Sur,19.37334207268211,-99.1773314879926,12
